trial0043437, GDX, 124, 4, 31.000000, ZIC, 195, 28, 6.964286, 
trial0043438, GDX, 97, 4, 24.250000, ZIC, 320, 28, 11.428571, 
trial0043439, GDX, 0, 4, 0.000000, ZIC, 384, 28, 13.714286, 
trial0043440, GDX, 35, 4, 8.750000, ZIC, 375, 28, 13.392857, 
trial0043441, GDX, 49, 4, 12.250000, ZIC, 355, 28, 12.678571, 
trial0043442, GDX, 26, 4, 6.500000, ZIC, 408, 28, 14.571429, 
trial0043443, GDX, 79, 4, 19.750000, ZIC, 363, 28, 12.964286, 
trial0043444, GDX, 25, 4, 6.250000, ZIC, 424, 28, 15.142857, 
trial0043445, GDX, 80, 4, 20.000000, ZIC, 392, 28, 14.000000, 
trial0043446, GDX, 7, 4, 1.750000, ZIC, 412, 28, 14.714286, 
trial0043447, GDX, 55, 4, 13.750000, ZIC, 327, 28, 11.678571, 
trial0043448, GDX, 23, 4, 5.750000, ZIC, 367, 28, 13.107143, 
trial0043449, GDX, 32, 4, 8.000000, ZIC, 341, 28, 12.178571, 
trial0043450, GDX, 149, 4, 37.250000, ZIC, 293, 28, 10.464286, 
trial0043451, GDX, 58, 4, 14.500000, ZIC, 369, 28, 13.178571, 
trial0043452, GDX, 77, 4, 19.250000, ZIC, 328, 28, 11.714286, 
trial0043453, GDX, 34, 4, 8.500000, ZIC, 415, 28, 14.821429, 
trial0043454, GDX, 125, 4, 31.250000, ZIC, 317, 28, 11.321429, 
trial0043455, GDX, 41, 4, 10.250000, ZIC, 386, 28, 13.785714, 
trial0043456, GDX, 35, 4, 8.750000, ZIC, 392, 28, 14.000000, 
trial0043457, GDX, 87, 4, 21.750000, ZIC, 385, 28, 13.750000, 
trial0043458, GDX, 12, 4, 3.000000, ZIC, 445, 28, 15.892857, 
trial0043459, GDX, 44, 4, 11.000000, ZIC, 368, 28, 13.142857, 
trial0043460, GDX, 84, 4, 21.000000, ZIC, 350, 28, 12.500000, 
trial0043461, GDX, 103, 4, 25.750000, ZIC, 353, 28, 12.607143, 
trial0043462, GDX, 71, 4, 17.750000, ZIC, 296, 28, 10.571429, 
trial0043463, GDX, 54, 4, 13.500000, ZIC, 373, 28, 13.321429, 
trial0043464, GDX, 102, 4, 25.500000, ZIC, 340, 28, 12.142857, 
trial0043465, GDX, 87, 4, 21.750000, ZIC, 385, 28, 13.750000, 
trial0043466, GDX, 81, 4, 20.250000, ZIC, 368, 28, 13.142857, 
trial0043467, GDX, 79, 4, 19.750000, ZIC, 303, 28, 10.821429, 
trial0043468, GDX, 30, 4, 7.500000, ZIC, 419, 28, 14.964286, 
trial0043469, GDX, 182, 4, 45.500000, ZIC, 245, 28, 8.750000, 
trial0043470, GDX, 97, 4, 24.250000, ZIC, 352, 28, 12.571429, 
trial0043471, GDX, 21, 4, 5.250000, ZIC, 567, 28, 20.250000, 
trial0043472, GDX, 84, 4, 21.000000, ZIC, 537, 28, 19.178571, 
trial0043473, GDX, 154, 4, 38.500000, ZIC, 541, 28, 19.321429, 
trial0043474, GDX, 99, 4, 24.750000, ZIC, 586, 28, 20.928571, 
trial0043475, GDX, 14, 4, 3.500000, ZIC, 606, 28, 21.642857, 
trial0043476, GDX, 47, 4, 11.750000, ZIC, 584, 28, 20.857143, 
trial0043477, GDX, 182, 4, 45.500000, ZIC, 493, 28, 17.607143, 
trial0043478, GDX, 51, 4, 12.750000, ZIC, 602, 28, 21.500000, 
trial0043479, GDX, 84, 4, 21.000000, ZIC, 579, 28, 20.678571, 
trial0043480, GDX, 49, 4, 12.250000, ZIC, 593, 28, 21.178571, 
trial0043481, GDX, 38, 4, 9.500000, ZIC, 571, 28, 20.392857, 
trial0043482, GDX, 84, 4, 21.000000, ZIC, 558, 28, 19.928571, 
trial0043483, GDX, 88, 4, 22.000000, ZIC, 554, 28, 19.785714, 
trial0043484, GDX, 128, 4, 32.000000, ZIC, 557, 28, 19.892857, 
trial0043485, GDX, 84, 4, 21.000000, ZIC, 483, 28, 17.250000, 
trial0043486, GDX, 12, 4, 3.000000, ZIC, 662, 28, 23.642857, 
trial0043487, GDX, 96, 4, 24.000000, ZIC, 578, 28, 20.642857, 
trial0043488, GDX, 181, 4, 45.250000, ZIC, 493, 28, 17.607143, 
trial0043489, GDX, 56, 4, 14.000000, ZIC, 618, 28, 22.071429, 
trial0043490, GDX, 192, 4, 48.000000, ZIC, 417, 28, 14.892857, 
trial0043491, GDX, 22, 4, 5.500000, ZIC, 630, 28, 22.500000, 
trial0043492, GDX, 98, 4, 24.500000, ZIC, 511, 28, 18.250000, 
trial0043493, GDX, 123, 4, 30.750000, ZIC, 497, 28, 17.750000, 
trial0043494, GDX, 0, 4, 0.000000, ZIC, 695, 28, 24.821429, 
trial0043495, GDX, 0, 4, 0.000000, ZIC, 642, 28, 22.928571, 
trial0043496, GDX, 126, 4, 31.500000, ZIC, 538, 28, 19.214286, 
trial0043497, GDX, 35, 4, 8.750000, ZIC, 564, 28, 20.142857, 
trial0043498, GDX, 118, 4, 29.500000, ZIC, 546, 28, 19.500000, 
trial0043499, GDX, 0, 4, 0.000000, ZIC, 652, 28, 23.285714, 
trial0043500, GDX, 79, 4, 19.750000, ZIC, 606, 28, 21.642857, 
