trial0013699, 000600, AA, 5, 2, 2.500000, GDX, 144, 14, 10.285714, ZIC, 273, 16, 17.062500, 116, 147, 
trial0013700, 000600, AA, 0, 2, 0.000000, GDX, 168, 14, 12.000000, ZIC, 349, 16, 21.812500, 150, 168, 
trial0013701, 000600, AA, 0, 2, 0.000000, GDX, 913, 14, 65.214286, ZIC, 167, 16, 10.437500, 116, 141, 
trial0013702, 000600, AA, 127, 2, 63.500000, GDX, 250, 14, 17.857143, ZIC, 493, 16, 30.812500, 110, 122, 
trial0013703, 000600, AA, 50, 2, 25.000000, GDX, 309, 14, 22.071429, ZIC, 946, 16, 59.125000, 104, 109, 
trial0013704, 000600, AA, 143, 2, 71.500000, GDX, 716, 14, 51.142857, ZIC, 320, 16, 20.000000, 129, 131, 
trial0013705, 000600, AA, 0, 2, 0.000000, GDX, 826, 14, 59.000000, ZIC, 643, 16, 40.187500, 103, 114, 
trial0013706, 000600, AA, 359, 2, 179.500000, GDX, 387, 14, 27.642857, ZIC, 1084, 16, 67.750000, 113, 126, 
trial0013707, 000600, AA, 76, 2, 38.000000, GDX, 537, 14, 38.357143, ZIC, 408, 16, 25.500000, 104, 120, 
trial0013708, 000600, AA, 0, 2, 0.000000, GDX, 487, 14, 34.785714, ZIC, 349, 16, 21.812500, 88, 105, 
trial0013709, 000600, AA, 0, 2, 0.000000, GDX, 244, 14, 17.428571, ZIC, 292, 16, 18.250000, 120, 132, 
trial0013710, 000600, AA, 0, 2, 0.000000, GDX, 586, 14, 41.857143, ZIC, 566, 16, 35.375000, 132, 143, 
trial0013711, 000600, AA, 160, 2, 80.000000, GDX, 515, 14, 36.785714, ZIC, 595, 16, 37.187500, 118, 121, 
