trial0004747, ZIC, 3320, 16, 207.500000, ZIP, 4039, 16, 252.437500, 
trial0004748, ZIC, 2804, 16, 175.250000, ZIP, 5419, 16, 338.687500, 
trial0004749, ZIC, 3897, 16, 243.562500, ZIP, 3941, 16, 246.312500, 
trial0004750, ZIC, 3221, 16, 201.312500, ZIP, 4510, 16, 281.875000, 
trial0004751, ZIC, 3992, 16, 249.500000, ZIP, 3444, 16, 215.250000, 
trial0004752, ZIC, 4126, 16, 257.875000, ZIP, 4201, 16, 262.562500, 
trial0004753, ZIC, 3724, 16, 232.750000, ZIP, 4219, 16, 263.687500, 
trial0004754, ZIC, 4504, 16, 281.500000, ZIP, 2743, 16, 171.437500, 
trial0004755, ZIC, 3670, 16, 229.375000, ZIP, 4513, 16, 282.062500, 
trial0004756, ZIC, 2047, 16, 127.937500, ZIP, 5971, 16, 373.187500, 
trial0004757, ZIC, 4182, 16, 261.375000, ZIP, 3658, 16, 228.625000, 
trial0004758, ZIC, 2944, 16, 184.000000, ZIP, 4964, 16, 310.250000, 
trial0004759, ZIC, 3192, 16, 199.500000, ZIP, 3870, 16, 241.875000, 
trial0004760, ZIC, 3089, 16, 193.062500, ZIP, 4701, 16, 293.812500, 
trial0004761, ZIC, 3848, 16, 240.500000, ZIP, 3877, 16, 242.312500, 
trial0004762, ZIC, 3486, 16, 217.875000, ZIP, 3944, 16, 246.500000, 
trial0004763, ZIC, 2080, 16, 130.000000, ZIP, 5145, 16, 321.562500, 
trial0004764, ZIC, 3403, 16, 212.687500, ZIP, 4603, 16, 287.687500, 
trial0004765, ZIC, 3286, 16, 205.375000, ZIP, 3763, 16, 235.187500, 
trial0004766, ZIC, 1959, 16, 122.437500, ZIP, 5330, 16, 333.125000, 
trial0004767, ZIC, 2976, 16, 186.000000, ZIP, 4252, 16, 265.750000, 
trial0004768, ZIC, 2165, 16, 135.312500, ZIP, 4932, 16, 308.250000, 
trial0004769, ZIC, 4015, 16, 250.937500, ZIP, 4104, 16, 256.500000, 
trial0004770, ZIC, 1817, 16, 113.562500, ZIP, 4996, 16, 312.250000, 
trial0004771, ZIC, 5245, 16, 327.812500, ZIP, 4558, 16, 284.875000, 
trial0004772, ZIC, 3343, 16, 208.937500, ZIP, 6282, 16, 392.625000, 
trial0004773, ZIC, 6096, 16, 381.000000, ZIP, 4221, 16, 263.812500, 
trial0004774, ZIC, 4082, 16, 255.125000, ZIP, 6270, 16, 391.875000, 
trial0004775, ZIC, 5502, 16, 343.875000, ZIP, 4259, 16, 266.187500, 
trial0004776, ZIC, 2947, 16, 184.187500, ZIP, 5986, 16, 374.125000, 
trial0004777, ZIC, 5132, 16, 320.750000, ZIP, 4294, 16, 268.375000, 
trial0004778, ZIC, 5078, 16, 317.375000, ZIP, 5228, 16, 326.750000, 
trial0004779, ZIC, 4685, 16, 292.812500, ZIP, 4749, 16, 296.812500, 
trial0004780, ZIC, 5390, 16, 336.875000, ZIP, 5073, 16, 317.062500, 
trial0004781, ZIC, 4574, 16, 285.875000, ZIP, 5199, 16, 324.937500, 
trial0004782, ZIC, 4752, 16, 297.000000, ZIP, 5296, 16, 331.000000, 
trial0004783, ZIC, 2193, 16, 137.062500, ZIP, 7860, 16, 491.250000, 
trial0004784, ZIC, 5720, 16, 357.500000, ZIP, 3756, 16, 234.750000, 
trial0004785, ZIC, 4293, 16, 268.312500, ZIP, 4804, 16, 300.250000, 
trial0004786, ZIC, 5624, 16, 351.500000, ZIP, 4585, 16, 286.562500, 
trial0004787, ZIC, 2736, 16, 171.000000, ZIP, 5585, 16, 349.062500, 
trial0004788, ZIC, 3212, 16, 200.750000, ZIP, 6271, 16, 391.937500, 
trial0004789, ZIC, 2632, 16, 164.500000, ZIP, 7040, 16, 440.000000, 
