trial0000195, AA, 2396, 20, 119.800000, GDX, 4496, 20, 224.800000, 
trial0000196, AA, 3003, 20, 150.150000, GDX, 4334, 20, 216.700000, 
trial0000197, AA, 3252, 20, 162.600000, GDX, 3783, 20, 189.150000, 
trial0000198, AA, 3482, 20, 174.100000, GDX, 3763, 20, 188.150000, 
trial0000199, AA, 5267, 20, 263.350000, GDX, 1910, 20, 95.500000, 
trial0000200, AA, 3620, 20, 181.000000, GDX, 3555, 20, 177.750000, 
trial0000201, AA, 1289, 20, 64.450000, GDX, 2635, 20, 131.750000, 
trial0000202, AA, 2451, 20, 122.550000, GDX, 1402, 20, 70.100000, 
trial0000203, AA, 2654, 20, 132.700000, GDX, 1064, 20, 53.200000, 
trial0000204, AA, 1973, 20, 98.650000, GDX, 1765, 20, 88.250000, 
trial0000205, AA, 2171, 20, 108.550000, GDX, 1586, 20, 79.300000, 
trial0000206, AA, 2224, 20, 111.200000, GDX, 1596, 20, 79.800000, 
trial0000207, AA, 2396, 20, 119.800000, GDX, 1642, 20, 82.100000, 
trial0000208, AA, 1536, 20, 76.800000, GDX, 2184, 20, 109.200000, 
trial0000209, AA, 2204, 20, 110.200000, GDX, 1580, 20, 79.000000, 
trial0000210, AA, 2170, 20, 108.500000, GDX, 1620, 20, 81.000000, 
trial0000211, AA, 1901, 20, 95.050000, GDX, 1873, 20, 93.650000, 
trial0000212, AA, 2424, 20, 121.200000, GDX, 1655, 20, 82.750000, 
trial0000213, AA, 1766, 20, 88.300000, GDX, 2029, 20, 101.450000, 
trial0000214, AA, 1428, 20, 71.400000, GDX, 2308, 20, 115.400000, 
trial0000215, AA, 1798, 20, 89.900000, GDX, 2096, 20, 104.800000, 
trial0000216, AA, 2540, 20, 127.000000, GDX, 1357, 20, 67.850000, 
trial0000217, AA, 1907, 20, 95.350000, GDX, 1853, 20, 92.650000, 
trial0000218, AA, 1509, 20, 75.450000, GDX, 2454, 20, 122.700000, 
trial0000219, AA, 2717, 20, 135.850000, GDX, 1390, 20, 69.500000, 
trial0000220, AA, 1763, 20, 88.150000, GDX, 2213, 20, 110.650000, 
trial0000221, AA, 2976, 20, 148.800000, GDX, 916, 20, 45.800000, 
trial0000222, AA, 2714, 20, 135.700000, GDX, 1177, 20, 58.850000, 
