trial0004234, GDX, 0, 2, 0.000000, ZIC, 2884, 38, 75.894737, 
trial0004235, GDX, 192, 2, 96.000000, ZIC, 3196, 38, 84.105263, 
trial0004236, GDX, 272, 2, 136.000000, ZIC, 2348, 38, 61.789474, 
trial0004237, GDX, 187, 2, 93.500000, ZIC, 3381, 38, 88.973684, 
trial0004238, GDX, 615, 2, 307.500000, ZIC, 3425, 38, 90.131579, 
trial0004239, GDX, 416, 2, 208.000000, ZIC, 2727, 38, 71.763158, 
trial0004240, GDX, 28, 2, 14.000000, ZIC, 3439, 38, 90.500000, 
trial0004241, GDX, 346, 2, 173.000000, ZIC, 2889, 38, 76.026316, 
trial0004242, GDX, 195, 2, 97.500000, ZIC, 3112, 38, 81.894737, 
trial0004243, GDX, 337, 2, 168.500000, ZIC, 3134, 38, 82.473684, 
trial0004244, GDX, 28, 2, 14.000000, ZIC, 2739, 38, 72.078947, 
trial0004245, GDX, 11, 2, 5.500000, ZIC, 2925, 38, 76.973684, 
trial0004246, GDX, 603, 2, 301.500000, ZIC, 2793, 38, 73.500000, 
trial0004247, GDX, 771, 2, 385.500000, ZIC, 2451, 38, 64.500000, 
trial0004248, GDX, 0, 2, 0.000000, ZIC, 3765, 38, 99.078947, 
trial0004249, GDX, 1252, 2, 626.000000, ZIC, 2723, 38, 71.657895, 
trial0004250, GDX, 477, 2, 238.500000, ZIC, 3682, 38, 96.894737, 
trial0004251, GDX, 38, 2, 19.000000, ZIC, 3567, 38, 93.868421, 
trial0004252, GDX, 296, 2, 148.000000, ZIC, 3032, 38, 79.789474, 
trial0004253, GDX, 125, 2, 62.500000, ZIC, 2773, 38, 72.973684, 
trial0004254, GDX, 696, 2, 348.000000, ZIC, 2609, 38, 68.657895, 
trial0004255, GDX, 713, 2, 356.500000, ZIC, 2305, 38, 60.657895, 
trial0004256, GDX, 578, 2, 289.000000, ZIC, 2124, 38, 55.894737, 
trial0004257, GDX, 90, 2, 45.000000, ZIC, 3903, 38, 102.710526, 
trial0004258, GDX, 395, 2, 197.500000, ZIC, 2878, 38, 75.736842, 
trial0004259, GDX, 280, 2, 140.000000, ZIC, 3803, 38, 100.078947, 
trial0004260, GDX, 331, 2, 165.500000, ZIC, 3058, 38, 80.473684, 
trial0004261, GDX, 296, 2, 148.000000, ZIC, 2396, 38, 63.052632, 
trial0004262, GDX, 491, 2, 245.500000, ZIC, 2831, 38, 74.500000, 
trial0004263, GDX, 0, 2, 0.000000, ZIC, 3320, 38, 87.368421, 
trial0004264, GDX, 831, 2, 415.500000, ZIC, 2683, 38, 70.605263, 
trial0004265, GDX, 58, 2, 29.000000, ZIC, 3492, 38, 91.894737, 
trial0004266, GDX, 967, 2, 483.500000, ZIC, 2851, 38, 75.026316, 
trial0004267, GDX, 22, 2, 11.000000, ZIC, 2967, 38, 78.078947, 
trial0004268, GDX, 349, 2, 174.500000, ZIC, 3216, 38, 84.631579, 
trial0004269, GDX, 17, 2, 8.500000, ZIC, 3231, 38, 85.026316, 
trial0004270, GDX, 25, 2, 12.500000, ZIC, 3391, 38, 89.236842, 
trial0004271, GDX, 0, 2, 0.000000, ZIC, 3437, 38, 90.447368, 
trial0004272, GDX, 269, 2, 134.500000, ZIC, 2566, 38, 67.526316, 
trial0004273, GDX, 417, 2, 208.500000, ZIC, 3212, 38, 84.526316, 
trial0004274, GDX, 227, 2, 113.500000, ZIC, 2691, 38, 70.815789, 
trial0004275, GDX, 359, 2, 179.500000, ZIC, 2729, 38, 71.815789, 
trial0004276, GDX, 163, 2, 81.500000, ZIC, 2578, 38, 67.842105, 
trial0004277, GDX, 157, 2, 78.500000, ZIC, 3230, 38, 85.000000, 
trial0004278, GDX, 308, 2, 154.000000, ZIC, 2927, 38, 77.026316, 
trial0004279, GDX, 787, 2, 393.500000, ZIC, 2445, 38, 64.342105, 
trial0004280, GDX, 197, 2, 98.500000, ZIC, 3059, 38, 80.500000, 
trial0004281, GDX, 98, 2, 49.000000, ZIC, 3404, 38, 89.578947, 
trial0004282, GDX, 594, 2, 297.000000, ZIC, 3122, 38, 82.157895, 
trial0004283, GDX, 159, 2, 79.500000, ZIC, 2955, 38, 77.763158, 
trial0004284, GDX, 148, 2, 74.000000, ZIC, 3313, 38, 87.184211, 
