trial0001152, AA, 2097, 14, 149.785714, GDX, 3164, 14, 226.000000, ZIC, 2545, 14, 181.785714, 
trial0001153, AA, 2879, 14, 205.642857, GDX, 2772, 14, 198.000000, ZIC, 1987, 14, 141.928571, 
trial0001154, AA, 2497, 14, 178.357143, GDX, 3025, 14, 216.071429, ZIC, 1711, 14, 122.214286, 
trial0001155, AA, 2245, 14, 160.357143, GDX, 3252, 14, 232.285714, ZIC, 1984, 14, 141.714286, 
trial0001156, AA, 3337, 14, 238.357143, GDX, 1529, 14, 109.214286, ZIC, 2322, 14, 165.857143, 
trial0001157, AA, 2026, 14, 144.714286, GDX, 4127, 14, 294.785714, ZIC, 1560, 14, 111.428571, 
trial0001158, AA, 3285, 14, 234.642857, GDX, 2921, 14, 208.642857, ZIC, 1466, 14, 104.714286, 
trial0001159, AA, 3168, 14, 226.285714, GDX, 2313, 14, 165.214286, ZIC, 1958, 14, 139.857143, 
trial0001160, AA, 2448, 14, 174.857143, GDX, 3714, 14, 265.285714, ZIC, 1525, 14, 108.928571, 
trial0001161, AA, 3127, 14, 223.357143, GDX, 2902, 14, 207.285714, ZIC, 1720, 14, 122.857143, 
trial0001162, AA, 3062, 14, 218.714286, GDX, 1613, 14, 115.214286, ZIC, 3449, 14, 246.357143, 
trial0001163, AA, 2960, 14, 211.428571, GDX, 2642, 14, 188.714286, ZIC, 1454, 14, 103.857143, 
trial0001164, AA, 1965, 14, 140.357143, GDX, 3361, 14, 240.071429, ZIC, 2034, 14, 145.285714, 
trial0001165, AA, 3477, 14, 248.357143, GDX, 3056, 14, 218.285714, ZIC, 1805, 14, 128.928571, 
trial0001166, AA, 2895, 14, 206.785714, GDX, 3050, 14, 217.857143, ZIC, 1704, 14, 121.714286, 
trial0001167, AA, 3948, 14, 282.000000, GDX, 1797, 14, 128.357143, ZIC, 1674, 14, 119.571429, 
trial0001168, AA, 3614, 14, 258.142857, GDX, 1174, 14, 83.857143, ZIC, 2228, 14, 159.142857, 
trial0001169, AA, 3101, 14, 221.500000, GDX, 2018, 14, 144.142857, ZIC, 2418, 14, 172.714286, 
trial0001170, AA, 1349, 14, 96.357143, GDX, 3882, 14, 277.285714, ZIC, 2597, 14, 185.500000, 
trial0001171, AA, 2821, 14, 201.500000, GDX, 2141, 14, 152.928571, ZIC, 2019, 14, 144.214286, 
trial0001172, AA, 2659, 14, 189.928571, GDX, 3091, 14, 220.785714, ZIC, 2164, 14, 154.571429, 
trial0001173, AA, 1820, 14, 130.000000, GDX, 2343, 14, 167.357143, ZIC, 3473, 14, 248.071429, 
trial0001174, AA, 3066, 14, 219.000000, GDX, 2426, 14, 173.285714, ZIC, 2282, 14, 163.000000, 
trial0001175, AA, 3795, 14, 271.071429, GDX, 1389, 14, 99.214286, ZIC, 2110, 14, 150.714286, 
trial0001176, AA, 3969, 14, 283.500000, GDX, 2432, 14, 173.714286, ZIC, 1209, 14, 86.357143, 
trial0001177, AA, 1206, 14, 86.142857, GDX, 3629, 14, 259.214286, ZIC, 2227, 14, 159.071429, 
trial0001178, AA, 1797, 14, 128.357143, GDX, 2822, 14, 201.571429, ZIC, 2736, 14, 195.428571, 
trial0001179, AA, 2293, 14, 163.785714, GDX, 3619, 14, 258.500000, ZIC, 1726, 14, 123.285714, 
trial0001180, AA, 3081, 14, 220.071429, GDX, 2518, 14, 179.857143, ZIC, 2166, 14, 154.714286, 
trial0001181, AA, 2770, 14, 197.857143, GDX, 3592, 14, 256.571429, ZIC, 1598, 14, 114.142857, 
trial0001182, AA, 2842, 14, 203.000000, GDX, 2544, 14, 181.714286, ZIC, 2347, 14, 167.642857, 
trial0001183, AA, 2815, 14, 201.071429, GDX, 1511, 14, 107.928571, ZIC, 3303, 14, 235.928571, 
trial0001184, AA, 3407, 14, 243.357143, GDX, 2825, 14, 201.785714, ZIC, 1639, 14, 117.071429, 
