trial0001188, AA, 12273, 38, 322.973684, ZIP, 652, 2, 326.000000, 
trial0001189, AA, 13223, 38, 347.973684, ZIP, 0, 2, 0.000000, 
trial0001190, AA, 12213, 38, 321.394737, ZIP, 1060, 2, 530.000000, 
trial0001191, AA, 11867, 38, 312.289474, ZIP, 1384, 2, 692.000000, 
trial0001192, AA, 11905, 38, 313.289474, ZIP, 821, 2, 410.500000, 
trial0001193, AA, 13117, 38, 345.184211, ZIP, 0, 2, 0.000000, 
trial0001194, AA, 12440, 38, 327.368421, ZIP, 404, 2, 202.000000, 
trial0001195, AA, 11736, 38, 308.842105, ZIP, 1345, 2, 672.500000, 
trial0001196, AA, 12815, 38, 337.236842, ZIP, 117, 2, 58.500000, 
trial0001197, AA, 13112, 38, 345.052632, ZIP, 0, 2, 0.000000, 
trial0001198, AA, 11142, 38, 293.210526, ZIP, 1793, 2, 896.500000, 
trial0001199, AA, 12814, 38, 337.210526, ZIP, 207, 2, 103.500000, 
trial0001200, AA, 12599, 38, 331.552632, ZIP, 451, 2, 225.500000, 
trial0001201, AA, 4822, 38, 126.894737, ZIP, 350, 2, 175.000000, 
trial0001202, AA, 4845, 38, 127.500000, ZIP, 408, 2, 204.000000, 
trial0001203, AA, 4640, 38, 122.105263, ZIP, 597, 2, 298.500000, 
trial0001204, AA, 4910, 38, 129.210526, ZIP, 305, 2, 152.500000, 
trial0001205, AA, 4696, 38, 123.578947, ZIP, 344, 2, 172.000000, 
trial0001206, AA, 4928, 38, 129.684211, ZIP, 210, 2, 105.000000, 
trial0001207, AA, 4330, 38, 113.947368, ZIP, 762, 2, 381.000000, 
trial0001208, AA, 4765, 38, 125.394737, ZIP, 382, 2, 191.000000, 
trial0001209, AA, 5032, 38, 132.421053, ZIP, 269, 2, 134.500000, 
trial0001210, AA, 5122, 38, 134.789474, ZIP, 132, 2, 66.000000, 
trial0001211, AA, 4952, 38, 130.315789, ZIP, 233, 2, 116.500000, 
