trial0000148, AA, 3357, 14, 239.785714, GDX, 1660, 14, 118.571429, ZIP, 5028, 14, 359.142857, 
trial0000149, AA, 1643, 14, 117.357143, GDX, 4474, 14, 319.571429, ZIP, 4782, 14, 341.571429, 
trial0000150, AA, 3123, 14, 223.071429, GDX, 2481, 14, 177.214286, ZIP, 4961, 14, 354.357143, 
trial0000151, AA, 2079, 14, 148.500000, GDX, 5517, 14, 394.071429, ZIP, 3788, 14, 270.571429, 
trial0000152, AA, 3644, 14, 260.285714, GDX, 1476, 14, 105.428571, ZIP, 5371, 14, 383.642857, 
trial0000153, AA, 1783, 14, 127.357143, GDX, 6888, 14, 492.000000, ZIP, 3069, 14, 219.214286, 
trial0000154, AA, 4400, 14, 314.285714, GDX, 3574, 14, 255.285714, ZIP, 3404, 14, 243.142857, 
trial0000155, AA, 3040, 14, 217.142857, GDX, 3969, 14, 283.500000, ZIP, 4265, 14, 304.642857, 
trial0000156, AA, 4386, 14, 313.285714, GDX, 2774, 14, 198.142857, ZIP, 3896, 14, 278.285714, 
trial0000157, AA, 2833, 14, 202.357143, GDX, 2841, 14, 202.928571, ZIP, 6132, 14, 438.000000, 
trial0000158, AA, 5086, 14, 363.285714, GDX, 2973, 14, 212.357143, ZIP, 3520, 14, 251.428571, 
trial0000159, AA, 3818, 14, 272.714286, GDX, 2868, 14, 204.857143, ZIP, 4508, 14, 322.000000, 
trial0000160, AA, 3536, 14, 252.571429, GDX, 4590, 14, 327.857143, ZIP, 3054, 14, 218.142857, 
trial0000161, AA, 3234, 14, 231.000000, GDX, 2214, 14, 158.142857, ZIP, 6152, 14, 439.428571, 
trial0000162, AA, 4141, 14, 295.785714, GDX, 4472, 14, 319.428571, ZIP, 2358, 14, 168.428571, 
trial0000163, AA, 3758, 14, 268.428571, GDX, 3194, 14, 228.142857, ZIP, 4255, 14, 303.928571, 
trial0000164, AA, 3340, 14, 238.571429, GDX, 4395, 14, 313.928571, ZIP, 2650, 14, 189.285714, 
trial0000165, AA, 4736, 14, 338.285714, GDX, 3748, 14, 267.714286, ZIP, 3194, 14, 228.142857, 
trial0000166, AA, 2582, 14, 184.428571, GDX, 4793, 14, 342.357143, ZIP, 3697, 14, 264.071429, 
trial0000167, AA, 3324, 14, 237.428571, GDX, 5135, 14, 366.785714, ZIP, 2934, 14, 209.571429, 
trial0000168, AA, 3764, 14, 268.857143, GDX, 3997, 14, 285.500000, ZIP, 3330, 14, 237.857143, 
trial0000169, AA, 5660, 14, 404.285714, GDX, 2894, 14, 206.714286, ZIP, 2976, 14, 212.571429, 
trial0000170, AA, 4188, 14, 299.142857, GDX, 1812, 14, 129.428571, ZIP, 4824, 14, 344.571429, 
trial0000171, AA, 5409, 14, 386.357143, GDX, 1683, 14, 120.214286, ZIP, 4158, 14, 297.000000, 
trial0000172, AA, 4634, 14, 331.000000, GDX, 1846, 14, 131.857143, ZIP, 4708, 14, 336.285714, 
trial0000173, AA, 3310, 14, 236.428571, GDX, 4600, 14, 328.571429, ZIP, 3507, 14, 250.500000, 
trial0000174, AA, 3406, 14, 243.285714, GDX, 3631, 14, 259.357143, ZIP, 4370, 14, 312.142857, 
trial0000175, AA, 5413, 14, 386.642857, GDX, 2261, 14, 161.500000, ZIP, 4487, 14, 320.500000, 
trial0000176, AA, 2773, 14, 198.071429, GDX, 3519, 14, 251.357143, ZIP, 5314, 14, 379.571429, 
trial0000177, AA, 2451, 14, 175.071429, GDX, 2771, 14, 197.928571, ZIP, 6565, 14, 468.928571, 
trial0000178, AA, 3600, 14, 257.142857, GDX, 2693, 14, 192.357143, ZIP, 4842, 14, 345.857143, 
trial0000179, AA, 3087, 14, 220.500000, GDX, 3822, 14, 273.000000, ZIP, 4112, 14, 293.714286, 
trial0000180, AA, 4962, 14, 354.428571, GDX, 3090, 14, 220.714286, ZIP, 3171, 14, 226.500000, 
trial0000181, AA, 4644, 14, 331.714286, GDX, 3497, 14, 249.785714, ZIP, 4042, 14, 288.714286, 
trial0000182, AA, 2712, 14, 193.714286, GDX, 5601, 14, 400.071429, ZIP, 3589, 14, 256.357143, 
trial0000183, AA, 4722, 14, 337.285714, GDX, 3963, 14, 283.071429, ZIP, 3147, 14, 224.785714, 
trial0000184, AA, 1670, 14, 119.285714, GDX, 6263, 14, 447.357143, ZIP, 3821, 14, 272.928571, 
trial0000185, AA, 4366, 14, 311.857143, GDX, 3453, 14, 246.642857, ZIP, 4149, 14, 296.357143, 
trial0000186, AA, 5486, 14, 391.857143, GDX, 3390, 14, 242.142857, ZIP, 2752, 14, 196.571429, 
trial0000187, AA, 6020, 14, 430.000000, GDX, 2024, 14, 144.571429, ZIP, 3340, 14, 238.571429, 
trial0000188, AA, 3839, 14, 274.214286, GDX, 4064, 14, 290.285714, ZIP, 3994, 14, 285.285714, 
trial0000189, AA, 5197, 14, 371.214286, GDX, 2705, 14, 193.214286, ZIP, 3656, 14, 261.142857, 
trial0000190, AA, 3573, 14, 255.214286, GDX, 4902, 14, 350.142857, ZIP, 2841, 14, 202.928571, 
trial0000191, AA, 3787, 14, 270.500000, GDX, 2929, 14, 209.214286, ZIP, 4984, 14, 356.000000, 
trial0000192, AA, 3219, 14, 229.928571, GDX, 5409, 14, 386.357143, ZIP, 2959, 14, 211.357143, 
trial0000193, AA, 3731, 14, 266.500000, GDX, 4289, 14, 306.357143, ZIP, 3925, 14, 280.357143, 
trial0000194, AA, 4087, 14, 291.928571, GDX, 3125, 14, 223.214286, ZIP, 4379, 14, 312.785714, 
trial0000195, AA, 6114, 14, 436.714286, GDX, 1463, 14, 104.500000, ZIP, 4380, 14, 312.857143, 
trial0000196, AA, 5351, 14, 382.214286, GDX, 2538, 14, 181.285714, ZIP, 3464, 14, 247.428571, 
trial0000197, AA, 4510, 14, 322.142857, GDX, 4684, 14, 334.571429, ZIP, 2387, 14, 170.500000, 
trial0000198, AA, 3104, 14, 221.714286, GDX, 5540, 14, 395.714286, ZIP, 2964, 14, 211.714286, 
