trial0033785, AA, 936, 22, 42.545455, GDX, 0, 2, 0.000000, ZIP, 502, 8, 62.750000, 
trial0033786, AA, 746, 22, 33.909091, GDX, 158, 2, 79.000000, ZIP, 388, 8, 48.500000, 
trial0033787, AA, 1058, 22, 48.090909, GDX, 0, 2, 0.000000, ZIP, 371, 8, 46.375000, 
trial0033788, AA, 1160, 22, 52.727273, GDX, 0, 2, 0.000000, ZIP, 197, 8, 24.625000, 
trial0033789, AA, 900, 22, 40.909091, GDX, 0, 2, 0.000000, ZIP, 394, 8, 49.250000, 
trial0033790, AA, 909, 22, 41.318182, GDX, 254, 2, 127.000000, ZIP, 248, 8, 31.000000, 
trial0033791, AA, 1029, 22, 46.772727, GDX, 80, 2, 40.000000, ZIP, 217, 8, 27.125000, 
trial0033792, AA, 1031, 22, 46.863636, GDX, 2, 2, 1.000000, ZIP, 408, 8, 51.000000, 
trial0033793, AA, 1045, 22, 47.500000, GDX, 0, 2, 0.000000, ZIP, 309, 8, 38.625000, 
trial0033794, AA, 967, 22, 43.954545, GDX, 86, 2, 43.000000, ZIP, 392, 8, 49.000000, 
trial0033795, AA, 1013, 22, 46.045455, GDX, 110, 2, 55.000000, ZIP, 137, 8, 17.125000, 
trial0033796, AA, 1112, 22, 50.545455, GDX, 0, 2, 0.000000, ZIP, 343, 8, 42.875000, 
trial0033797, AA, 832, 22, 37.818182, GDX, 0, 2, 0.000000, ZIP, 435, 8, 54.375000, 
trial0033798, AA, 740, 22, 33.636364, GDX, 0, 2, 0.000000, ZIP, 521, 8, 65.125000, 
trial0033799, AA, 1003, 22, 45.590909, GDX, 0, 2, 0.000000, ZIP, 399, 8, 49.875000, 
trial0033800, AA, 851, 22, 38.681818, GDX, 0, 2, 0.000000, ZIP, 440, 8, 55.000000, 
trial0033801, AA, 1105, 22, 50.227273, GDX, 0, 2, 0.000000, ZIP, 257, 8, 32.125000, 
trial0033802, AA, 660, 22, 30.000000, GDX, 131, 2, 65.500000, ZIP, 588, 8, 73.500000, 
trial0033803, AA, 868, 22, 39.454545, GDX, 38, 2, 19.000000, ZIP, 303, 8, 37.875000, 
trial0033804, AA, 1046, 22, 47.545455, GDX, 89, 2, 44.500000, ZIP, 206, 8, 25.750000, 
trial0033805, AA, 909, 22, 41.318182, GDX, 16, 2, 8.000000, ZIP, 345, 8, 43.125000, 
trial0033806, AA, 729, 22, 33.136364, GDX, 94, 2, 47.000000, ZIP, 553, 8, 69.125000, 
trial0033807, AA, 650, 22, 29.545455, GDX, 127, 2, 63.500000, ZIP, 532, 8, 66.500000, 
trial0033808, AA, 870, 22, 39.545455, GDX, 118, 2, 59.000000, ZIP, 292, 8, 36.500000, 
