trial0001225, AA, 4208, 20, 210.400000, ZIP, 5568, 20, 278.400000, 
trial0001226, AA, 3359, 20, 167.950000, ZIP, 7245, 20, 362.250000, 
trial0001227, AA, 5124, 20, 256.200000, ZIP, 5401, 20, 270.050000, 
trial0001228, AA, 3491, 20, 174.550000, ZIP, 7062, 20, 353.100000, 
trial0001229, AA, 3888, 20, 194.400000, ZIP, 5650, 20, 282.500000, 
trial0001230, AA, 3822, 20, 191.100000, ZIP, 6497, 20, 324.850000, 
trial0001231, AA, 4668, 20, 233.400000, ZIP, 4915, 20, 245.750000, 
trial0001232, AA, 4036, 20, 201.800000, ZIP, 6472, 20, 323.600000, 
trial0001233, AA, 4966, 20, 248.300000, ZIP, 4856, 20, 242.800000, 
trial0001234, AA, 3195, 20, 159.750000, ZIP, 6899, 20, 344.950000, 
trial0001235, AA, 6694, 20, 334.700000, ZIP, 3806, 20, 190.300000, 
trial0001236, AA, 5164, 20, 258.200000, ZIP, 5350, 20, 267.500000, 
trial0001237, AA, 6244, 20, 312.200000, ZIP, 4385, 20, 219.250000, 
trial0001238, AA, 6599, 20, 329.950000, ZIP, 4104, 20, 205.200000, 
trial0001239, AA, 5619, 20, 280.950000, ZIP, 4622, 20, 231.100000, 
trial0001240, AA, 4285, 20, 214.250000, ZIP, 5947, 20, 297.350000, 
trial0001241, AA, 4942, 20, 247.100000, ZIP, 5834, 20, 291.700000, 
trial0001242, AA, 6001, 20, 300.050000, ZIP, 4367, 20, 218.350000, 
trial0001243, AA, 5372, 20, 268.600000, ZIP, 5105, 20, 255.250000, 
trial0001244, AA, 6249, 20, 312.450000, ZIP, 3701, 20, 185.050000, 
trial0001245, AA, 4505, 20, 225.250000, ZIP, 5609, 20, 280.450000, 
trial0001246, AA, 6767, 20, 338.350000, ZIP, 3518, 20, 175.900000, 
trial0001247, AA, 6301, 20, 315.050000, ZIP, 4191, 20, 209.550000, 
trial0001248, AA, 5603, 20, 280.150000, ZIP, 4844, 20, 242.200000, 
trial0001249, AA, 4341, 20, 217.050000, ZIP, 6023, 20, 301.150000, 
trial0001250, AA, 4836, 20, 241.800000, ZIP, 5403, 20, 270.150000, 
trial0001251, AA, 3144, 20, 157.200000, ZIP, 6879, 20, 343.950000, 
trial0001252, AA, 3967, 20, 198.350000, ZIP, 6019, 20, 300.950000, 
