trial0000213, AA, 8470, 38, 222.894737, GDX, 695, 2, 347.500000, 
trial0000214, AA, 9066, 38, 238.578947, GDX, 127, 2, 63.500000, 
trial0000215, AA, 8231, 38, 216.605263, GDX, 1000, 2, 500.000000, 
trial0000216, AA, 7986, 38, 210.157895, GDX, 805, 2, 402.500000, 
trial0000217, AA, 9327, 38, 245.447368, GDX, 0, 2, 0.000000, 
trial0000218, AA, 9111, 38, 239.763158, GDX, 417, 2, 208.500000, 
trial0000219, AA, 8110, 38, 213.421053, GDX, 697, 2, 348.500000, 
trial0000220, AA, 9337, 38, 245.710526, GDX, 0, 2, 0.000000, 
trial0000221, AA, 9263, 38, 243.763158, GDX, 18, 2, 9.000000, 
trial0000222, AA, 8145, 38, 214.342105, GDX, 990, 2, 495.000000, 
trial0000223, AA, 9263, 38, 243.763158, GDX, 45, 2, 22.500000, 
trial0000224, AA, 8533, 38, 224.552632, GDX, 785, 2, 392.500000, 
trial0000225, AA, 8573, 38, 225.605263, GDX, 574, 2, 287.000000, 
trial0000226, AA, 9208, 38, 242.315789, GDX, 35, 2, 17.500000, 
trial0000227, AA, 7684, 38, 202.210526, GDX, 1242, 2, 621.000000, 
trial0000228, AA, 8458, 38, 222.578947, GDX, 618, 2, 309.000000, 
trial0000229, AA, 8466, 38, 222.789474, GDX, 692, 2, 346.000000, 
trial0000230, AA, 8620, 38, 226.842105, GDX, 618, 2, 309.000000, 
trial0000231, AA, 8926, 38, 234.894737, GDX, 320, 2, 160.000000, 
trial0000232, AA, 9377, 38, 246.763158, GDX, 56, 2, 28.000000, 
trial0000233, AA, 9322, 38, 245.315789, GDX, 46, 2, 23.000000, 
trial0000234, AA, 8300, 38, 218.421053, GDX, 710, 2, 355.000000, 
trial0000235, AA, 9371, 38, 246.605263, GDX, 0, 2, 0.000000, 
trial0000236, AA, 9310, 38, 245.000000, GDX, 33, 2, 16.500000, 
trial0000237, AA, 8649, 38, 227.605263, GDX, 471, 2, 235.500000, 
trial0000238, AA, 8797, 38, 231.500000, GDX, 658, 2, 329.000000, 
trial0000239, AA, 9199, 38, 242.078947, GDX, 0, 2, 0.000000, 
trial0000240, AA, 8843, 38, 232.710526, GDX, 288, 2, 144.000000, 
trial0000241, AA, 7891, 38, 207.657895, GDX, 967, 2, 483.500000, 
trial0000242, AA, 9197, 38, 242.026316, GDX, 196, 2, 98.000000, 
