trial0002146, AA, 1408, 14, 100.571429, ZIC, 912, 14, 65.142857, ZIP, 1950, 14, 139.285714, 
trial0002147, AA, 1730, 14, 123.571429, ZIC, 1080, 14, 77.142857, ZIP, 1545, 14, 110.357143, 
trial0002148, AA, 1666, 14, 119.000000, ZIC, 1175, 14, 83.928571, ZIP, 1675, 14, 119.642857, 
trial0002149, AA, 2403, 14, 171.642857, ZIC, 690, 14, 49.285714, ZIP, 1903, 14, 135.928571, 
trial0002150, AA, 1715, 14, 122.500000, ZIC, 674, 14, 48.142857, ZIP, 2301, 14, 164.357143, 
trial0002151, AA, 1005, 14, 71.785714, ZIC, 1404, 14, 100.285714, ZIP, 2658, 14, 189.857143, 
trial0002152, AA, 2216, 14, 158.285714, ZIC, 646, 14, 46.142857, ZIP, 1845, 14, 131.785714, 
trial0002153, AA, 1986, 14, 141.857143, ZIC, 420, 14, 30.000000, ZIP, 2008, 14, 143.428571, 
trial0002154, AA, 1772, 14, 126.571429, ZIC, 1521, 14, 108.642857, ZIP, 1400, 14, 100.000000, 
trial0002155, AA, 1806, 14, 129.000000, ZIC, 1025, 14, 73.214286, ZIP, 2171, 14, 155.071429, 
trial0002156, AA, 1602, 14, 114.428571, ZIC, 1913, 14, 136.642857, ZIP, 1218, 14, 87.000000, 
trial0002157, AA, 2750, 14, 196.428571, ZIC, 752, 14, 53.714286, ZIP, 1744, 14, 124.571429, 
trial0002158, AA, 1784, 14, 127.428571, ZIC, 749, 14, 53.500000, ZIP, 2512, 14, 179.428571, 
trial0002159, AA, 2000, 14, 142.857143, ZIC, 877, 14, 62.642857, ZIP, 1760, 14, 125.714286, 
trial0002160, AA, 1318, 14, 94.142857, ZIC, 942, 14, 67.285714, ZIP, 2890, 14, 206.428571, 
trial0002161, AA, 1335, 14, 95.357143, ZIC, 1499, 14, 107.071429, ZIP, 2324, 14, 166.000000, 
trial0002162, AA, 2944, 14, 210.285714, ZIC, 416, 14, 29.714286, ZIP, 1513, 14, 108.071429, 
trial0002163, AA, 2013, 14, 143.785714, ZIC, 1565, 14, 111.785714, ZIP, 1618, 14, 115.571429, 
trial0002164, AA, 2002, 14, 143.000000, ZIC, 619, 14, 44.214286, ZIP, 2626, 14, 187.571429, 
trial0002165, AA, 2366, 14, 169.000000, ZIC, 623, 14, 44.500000, ZIP, 2283, 14, 163.071429, 
trial0002166, AA, 2569, 14, 183.500000, ZIC, 802, 14, 57.285714, ZIP, 1608, 14, 114.857143, 
trial0002167, AA, 2549, 14, 182.071429, ZIC, 1289, 14, 92.071429, ZIP, 978, 14, 69.857143, 
trial0002168, AA, 1189, 14, 84.928571, ZIC, 1415, 14, 101.071429, ZIP, 1656, 14, 118.285714, 
trial0002169, AA, 2124, 14, 151.714286, ZIC, 561, 14, 40.071429, ZIP, 2596, 14, 185.428571, 
trial0002170, AA, 2791, 14, 199.357143, ZIC, 788, 14, 56.285714, ZIP, 1404, 14, 100.285714, 
trial0002171, AA, 1709, 14, 122.071429, ZIC, 733, 14, 52.357143, ZIP, 2488, 14, 177.714286, 
trial0002172, AA, 2022, 14, 144.428571, ZIC, 811, 14, 57.928571, ZIP, 2161, 14, 154.357143, 
trial0002173, AA, 1760, 14, 125.714286, ZIC, 343, 14, 24.500000, ZIP, 2503, 14, 178.785714, 
trial0002174, AA, 1741, 14, 124.357143, ZIC, 1253, 14, 89.500000, ZIP, 1931, 14, 137.928571, 
trial0002175, AA, 1635, 14, 116.785714, ZIC, 1438, 14, 102.714286, ZIP, 2118, 14, 151.285714, 
trial0002176, AA, 1768, 14, 126.285714, ZIC, 1423, 14, 101.642857, ZIP, 1995, 14, 142.500000, 
trial0002177, AA, 2243, 14, 160.214286, ZIC, 764, 14, 54.571429, ZIP, 2176, 14, 155.428571, 
trial0002178, AA, 1138, 14, 81.285714, ZIC, 1116, 14, 79.714286, ZIP, 2445, 14, 174.642857, 
trial0002179, AA, 2327, 14, 166.214286, ZIC, 847, 14, 60.500000, ZIP, 1656, 14, 118.285714, 
trial0002180, AA, 1261, 14, 90.071429, ZIC, 978, 14, 69.857143, ZIP, 1791, 14, 127.928571, 
trial0002181, AA, 2560, 14, 182.857143, ZIC, 1013, 14, 72.357143, ZIP, 1317, 14, 94.071429, 
trial0002182, AA, 1689, 14, 120.642857, ZIC, 888, 14, 63.428571, ZIP, 1957, 14, 139.785714, 
trial0002183, AA, 2558, 14, 182.714286, ZIC, 670, 14, 47.857143, ZIP, 1715, 14, 122.500000, 
trial0002184, AA, 1942, 14, 138.714286, ZIC, 765, 14, 54.642857, ZIP, 2042, 14, 145.857143, 
trial0002185, AA, 2045, 14, 146.071429, ZIC, 1078, 14, 77.000000, ZIP, 1752, 14, 125.142857, 
trial0002186, AA, 2312, 14, 165.142857, ZIC, 637, 14, 45.500000, ZIP, 1705, 14, 121.785714, 
trial0002187, AA, 2076, 14, 148.285714, ZIC, 928, 14, 66.285714, ZIP, 1878, 14, 134.142857, 
trial0002188, AA, 1317, 14, 94.071429, ZIC, 1022, 14, 73.000000, ZIP, 1780, 14, 127.142857, 
trial0002189, AA, 2078, 14, 148.428571, ZIC, 1115, 14, 79.642857, ZIP, 2069, 14, 147.785714, 
trial0002190, AA, 2556, 14, 182.571429, ZIC, 927, 14, 66.214286, ZIP, 1634, 14, 116.714286, 
trial0002191, AA, 2142, 14, 153.000000, ZIC, 502, 14, 35.857143, ZIP, 2531, 14, 180.785714, 
trial0002192, AA, 2135, 14, 152.500000, ZIC, 1219, 14, 87.071429, ZIP, 1671, 14, 119.357143, 
trial0002193, AA, 1349, 14, 96.357143, ZIC, 1419, 14, 101.357143, ZIP, 2238, 14, 159.857143, 
trial0002194, AA, 1071, 14, 76.500000, ZIC, 1727, 14, 123.357143, ZIP, 2062, 14, 147.285714, 
trial0002195, AA, 1845, 14, 131.785714, ZIC, 1214, 14, 86.714286, ZIP, 1893, 14, 135.214286, 
trial0002196, AA, 2722, 14, 194.428571, ZIC, 740, 14, 52.857143, ZIP, 1847, 14, 131.928571, 
trial0002197, AA, 830, 14, 59.285714, ZIC, 727, 14, 51.928571, ZIP, 3175, 14, 226.785714, 
trial0002198, AA, 1739, 14, 124.214286, ZIC, 572, 14, 40.857143, ZIP, 2745, 14, 196.071429, 
trial0002199, AA, 1785, 14, 127.500000, ZIC, 669, 14, 47.785714, ZIP, 2280, 14, 162.857143, 
trial0002200, AA, 1512, 14, 108.000000, ZIC, 1051, 14, 75.071429, ZIP, 2280, 14, 162.857143, 
trial0002201, AA, 329, 14, 23.500000, ZIC, 102, 14, 7.285714, ZIP, 1005, 14, 71.785714, 
trial0002202, AA, 413, 14, 29.500000, ZIC, 119, 14, 8.500000, ZIP, 612, 14, 43.714286, 
trial0002203, AA, 538, 14, 38.428571, ZIC, 104, 14, 7.428571, ZIP, 462, 14, 33.000000, 
trial0002204, AA, 292, 14, 20.857143, ZIC, 80, 14, 5.714286, ZIP, 773, 14, 55.214286, 
trial0002205, AA, 698, 14, 49.857143, ZIC, 72, 14, 5.142857, ZIP, 564, 14, 40.285714, 
trial0002206, AA, 244, 14, 17.428571, ZIC, 49, 14, 3.500000, ZIP, 599, 14, 42.785714, 
trial0002207, AA, 412, 14, 29.428571, ZIC, 76, 14, 5.428571, ZIP, 622, 14, 44.428571, 
trial0002208, AA, 318, 14, 22.714286, ZIC, 41, 14, 2.928571, ZIP, 902, 14, 64.428571, 
trial0002209, AA, 591, 14, 42.214286, ZIC, 153, 14, 10.928571, ZIP, 459, 14, 32.785714, 
trial0002210, AA, 634, 14, 45.285714, ZIC, 128, 14, 9.142857, ZIP, 372, 14, 26.571429, 
trial0002211, AA, 454, 14, 32.428571, ZIC, 48, 14, 3.428571, ZIP, 370, 14, 26.428571, 
trial0002212, AA, 417, 14, 29.785714, ZIC, 155, 14, 11.071429, ZIP, 508, 14, 36.285714, 
trial0002213, AA, 604, 14, 43.142857, ZIC, 148, 14, 10.571429, ZIP, 917, 14, 65.500000, 
trial0002214, AA, 489, 14, 34.928571, ZIC, 161, 14, 11.500000, ZIP, 556, 14, 39.714286, 
trial0002215, AA, 462, 14, 33.000000, ZIC, 264, 14, 18.857143, ZIP, 542, 14, 38.714286, 
trial0002216, AA, 284, 14, 20.285714, ZIC, 204, 14, 14.571429, ZIP, 794, 14, 56.714286, 
trial0002217, AA, 506, 14, 36.142857, ZIC, 123, 14, 8.785714, ZIP, 487, 14, 34.785714, 
trial0002218, AA, 632, 14, 45.142857, ZIC, 119, 14, 8.500000, ZIP, 732, 14, 52.285714, 
trial0002219, AA, 589, 14, 42.071429, ZIC, 122, 14, 8.714286, ZIP, 465, 14, 33.214286, 
trial0002220, AA, 271, 14, 19.357143, ZIC, 310, 14, 22.142857, ZIP, 374, 14, 26.714286, 
trial0002221, AA, 299, 14, 21.357143, ZIC, 103, 14, 7.357143, ZIP, 555, 14, 39.642857, 
trial0002222, AA, 410, 14, 29.285714, ZIC, 100, 14, 7.142857, ZIP, 633, 14, 45.214286, 
trial0002223, AA, 605, 14, 43.214286, ZIC, 68, 14, 4.857143, ZIP, 587, 14, 41.928571, 
trial0002224, AA, 439, 14, 31.357143, ZIC, 19, 14, 1.357143, ZIP, 797, 14, 56.928571, 
trial0002225, AA, 520, 14, 37.142857, ZIC, 53, 14, 3.785714, ZIP, 506, 14, 36.142857, 
trial0002226, AA, 786, 14, 56.142857, ZIC, 100, 14, 7.142857, ZIP, 385, 14, 27.500000, 
trial0002227, AA, 579, 14, 41.357143, ZIC, 114, 14, 8.142857, ZIP, 646, 14, 46.142857, 
trial0002228, AA, 392, 14, 28.000000, ZIC, 75, 14, 5.357143, ZIP, 619, 14, 44.214286, 
trial0002229, AA, 400, 14, 28.571429, ZIC, 150, 14, 10.714286, ZIP, 503, 14, 35.928571, 
trial0002230, AA, 423, 14, 30.214286, ZIC, 54, 14, 3.857143, ZIP, 751, 14, 53.642857, 
trial0002231, AA, 436, 14, 31.142857, ZIC, 56, 14, 4.000000, ZIP, 646, 14, 46.142857, 
trial0002232, AA, 414, 14, 29.571429, ZIC, 61, 14, 4.357143, ZIP, 608, 14, 43.428571, 
trial0002233, AA, 207, 14, 14.785714, ZIC, 134, 14, 9.571429, ZIP, 681, 14, 48.642857, 
trial0002234, AA, 718, 14, 51.285714, ZIC, 31, 14, 2.214286, ZIP, 439, 14, 31.357143, 
trial0002235, AA, 325, 14, 23.214286, ZIC, 61, 14, 4.357143, ZIP, 516, 14, 36.857143, 
trial0002236, AA, 422, 14, 30.142857, ZIC, 23, 14, 1.642857, ZIP, 590, 14, 42.142857, 
